vehID,depart_step,arrival_step,travel_time_steps,travel_time_s
8,8,19,11,0.011
18,18,29,11,0.011
1,1,49,48,0.048
5,5,53,48,0.048
2,2,59,57,0.057
40,40,63,23,0.023
3,3,69,66,0.066
9,9,70,61,0.061
13,13,74,61,0.061
4,4,80,76,0.076
27,27,80,53,0.053
51,51,85,34,0.034
52,52,85,33,0.033
66,67,95,28,0.028
31,31,99,68,0.068
78,78,104,26,0.026
23,23,105,82,0.082
36,36,105,69,0.069
17,17,108,91,0.091
58,58,112,54,0.054
15,15,121,106,0.106
39,39,121,82,0.082
94,95,121,26,0.026
93,94,122,28,0.028
37,37,123,86,0.086
113,113,124,11,0.011
69,69,125,56,0.056
35,35,143,108,0.108
60,63,145,82,0.082
22,22,150,128,0.128
19,19,152,133,0.133
26,26,152,126,0.126
34,34,153,119,0.119
59,59,154,95,0.095
104,104,157,53,0.053
118,118,158,40,0.040
6,6,159,153,0.153
24,24,159,135,0.135
50,50,159,109,0.109
0,0,161,161,0.161
73,74,161,87,0.087
151,152,165,13,0.013
85,85,166,81,0.081
86,86,170,84,0.084
161,161,172,11,0.011
108,108,173,65,0.065
41,42,174,132,0.132
14,14,177,163,0.163
53,53,177,124,0.124
62,62,180,118,0.118
77,77,180,103,0.103
54,54,183,129,0.129
130,130,183,53,0.053
79,79,185,106,0.106
46,46,186,140,0.140
75,75,189,114,0.114
10,10,193,183,0.183
64,64,193,129,0.129
129,129,193,64,0.064
45,45,195,150,0.150
76,76,197,121,0.121
125,125,198,73,0.073
102,102,199,97,0.097
116,116,201,85,0.085
111,111,202,91,0.091
29,29,203,174,0.174
157,157,203,46,0.046
30,30,204,174,0.174
71,71,206,135,0.135
103,103,207,104,0.104
81,81,208,127,0.127
122,122,208,86,0.086
197,197,209,12,0.012
154,154,211,57,0.057
33,33,219,186,0.186
162,162,228,66,0.066
175,175,228,53,0.053
98,98,238,140,0.140
96,97,239,142,0.142
106,106,241,135,0.135
100,101,243,142,0.142
186,186,243,57,0.057
120,120,248,128,0.128
126,126,253,127,0.127
243,243,254,11,0.011
139,140,259,119,0.119
95,97,260,163,0.163
134,134,260,126,0.126
89,89,262,173,0.173
72,72,264,192,0.192
109,109,266,157,0.157
123,124,266,142,0.142
83,83,271,188,0.188
16,16,276,260,0.260
43,43,278,235,0.235
74,74,280,206,0.206
191,191,285,94,0.094
232,239,290,51,0.051
214,214,293,79,0.079
230,230,295,65,0.065
167,167,298,131,0.131
236,236,298,62,0.062
276,276,304,28,0.028
156,157,315,158,0.158
178,178,321,143,0.143
305,308,321,13,0.013
84,85,328,243,0.243
143,143,330,187,0.187
169,169,337,168,0.168
239,239,337,98,0.098
179,181,340,159,0.159
343,343,355,12,0.012
144,144,356,212,0.212
242,258,358,100,0.100
171,172,359,187,0.187
172,173,364,191,0.191
119,119,365,246,0.246
189,189,365,176,0.176
12,12,375,363,0.363
25,25,378,353,0.353
160,160,380,220,0.220
226,226,382,156,0.156
402,402,412,10,0.010
420,420,431,11,0.011
442,442,452,10,0.010
502,502,514,12,0.012
80,82,604,522,0.522
133,134,653,519,0.519
185,186,666,480,0.480
135,137,678,541,0.541
241,241,689,448,0.448
256,258,701,443,0.443
87,87,714,627,0.627
168,173,724,551,0.551
67,67,754,687,0.687
196,196,892,696,0.696
199,199,923,724,0.724
264,264,928,664,0.664
287,287,967,680,0.680
222,222,986,764,0.764
213,213,988,775,0.775
28,28,1033,1005,1.005
163,163,1075,912,0.912
47,47,1108,1061,1.061
7,7,1119,1112,1.112
56,56,1119,1063,1.063
57,57,1123,1066,1.066
182,182,1125,943,0.943
363,363,1172,809,0.809
331,333,1192,859,0.859
