step,veh_in_net,waiting_time_sum,stops_sum
0,2,0.000,0
1,203,0.000,0
2,203,0.000,0
3,203,0.000,0
4,203,0.000,0
5,203,0.000,0
6,203,0.000,0
7,203,0.000,0
8,203,0.000,0
9,203,0.000,0
10,203,0.000,0
11,203,0.000,0
12,203,0.000,0
13,203,1.000,1
14,203,3.000,1
15,203,5.000,0
16,203,8.000,1
17,203,11.000,0
18,203,14.000,0
19,202,17.000,0
20,202,20.000,0
21,202,23.000,0
22,202,26.000,0
23,202,29.000,0
24,202,34.000,2
25,202,39.000,0
26,202,45.000,1
27,202,51.000,0
28,202,58.000,1
29,201,65.000,0
30,201,72.000,0
31,201,81.000,2
32,201,91.000,1
33,201,101.000,0
34,201,111.000,0
35,201,121.000,0
36,201,133.000,2
37,201,145.000,0
38,201,157.000,0
39,201,169.000,0
40,201,182.000,1
41,201,196.000,1
42,201,210.000,0
43,201,225.000,1
44,201,240.000,0
45,201,132.000,1
46,201,70.000,0
47,201,31.000,3
48,201,29.000,2
49,200,38.000,2
50,200,49.000,2
51,200,60.000,0
52,200,73.000,2
53,199,86.000,0
54,199,103.000,4
55,199,123.000,3
56,199,145.000,2
57,199,158.000,1
58,199,172.000,1
59,198,189.000,3
60,198,207.000,1
61,198,224.000,0
62,198,219.000,3
63,197,223.000,1
64,197,242.000,1
65,197,268.000,2
66,197,275.000,1
67,197,285.000,3
68,197,309.000,0
69,196,338.000,2
70,195,369.000,2
71,195,400.000,0
72,195,432.000,1
73,195,465.000,1
74,194,474.000,4
75,194,485.000,2
76,194,496.000,1
77,194,514.000,1
78,194,536.000,2
79,194,565.000,1
80,192,601.000,0
81,192,640.000,2
82,192,679.000,0
83,192,720.000,2
84,192,761.000,0
85,190,805.000,3
86,190,835.000,0
87,190,866.000,2
88,190,897.000,1
89,190,931.000,2
90,190,682.000,4
91,190,501.000,4
92,190,327.000,1
93,190,235.000,2
94,190,172.000,2
95,189,137.000,1
96,189,112.000,3
97,189,100.000,2
98,189,110.000,0
99,188,125.000,6
100,188,145.000,2
101,188,172.000,3
102,188,200.000,1
103,188,234.000,6
104,187,270.000,2
105,185,306.000,0
106,185,348.000,6
107,185,392.000,2
108,184,440.000,4
109,184,491.000,3
110,184,545.000,3
111,184,601.000,2
112,183,659.000,2
113,183,719.000,2
114,183,781.000,2
115,183,846.000,3
116,183,911.000,0
117,183,977.000,1
118,183,1045.000,2
119,183,1094.000,2
120,183,1121.000,0
121,180,1150.000,1
122,179,1184.000,1
123,178,1225.000,1
124,177,1279.000,3
125,176,1334.000,0
126,176,1390.000,0
127,176,1450.000,1
128,176,1514.000,2
129,176,1580.000,1
130,176,1647.000,1
131,176,1715.000,1
132,176,1749.000,0
133,176,1784.000,1
134,176,1820.000,1
135,176,1602.000,2
136,176,1407.000,3
137,176,1238.000,2
138,176,1115.000,5
139,176,973.000,1
140,176,839.000,2
141,176,712.000,4
142,176,614.000,5
143,175,573.000,3
144,175,500.000,3
145,174,442.000,4
146,174,427.000,4
147,174,437.000,6
148,174,402.000,4
149,174,384.000,2
150,173,386.000,1
151,173,401.000,4
152,171,421.000,6
153,170,475.000,4
154,169,490.000,1
155,169,531.000,2
156,169,579.000,5
157,168,621.000,3
158,167,668.000,2
159,164,718.000,3
160,164,773.000,4
161,162,831.000,4
162,162,891.000,3
163,162,952.000,1
164,162,1014.000,0
165,161,1082.000,1
166,160,1145.000,2
167,160,1209.000,2
168,160,1278.000,5
169,160,1350.000,2
170,159,1427.000,4
171,159,1507.000,2
172,158,1589.000,2
173,157,1672.000,1
174,156,1757.000,2
175,156,1844.000,2
176,156,1934.000,3
177,154,2015.000,2
178,154,2097.000,2
179,154,2183.000,4
180,152,1935.000,2
181,152,1703.000,4
182,152,1488.000,3
183,150,1302.000,3
184,150,1124.000,5
185,149,986.000,2
186,148,855.000,4
187,148,751.000,4
188,148,677.000,2
189,147,619.000,5
190,147,535.000,3
191,147,466.000,3
192,147,452.000,5
193,144,451.000,5
194,144,420.000,4
195,143,395.000,6
196,143,382.000,4
197,142,392.000,4
198,141,408.000,3
199,140,428.000,5
200,140,482.000,6
201,139,545.000,5
202,339,606.000,3
203,337,671.000,5
204,336,743.000,7
205,336,805.000,8
206,335,867.000,3
207,334,928.000,6
208,332,997.000,6
209,331,1066.000,1
210,331,1143.000,6
211,330,1221.000,4
212,330,1301.000,4
213,330,1386.000,5
214,330,1440.000,2
215,330,1508.000,5
216,330,1568.000,3
217,330,1607.000,1
218,330,1647.000,4
219,329,1721.000,3
220,329,1766.000,4
221,329,1814.000,3
222,329,1863.000,3
223,329,1916.000,9
224,329,1962.000,0
225,329,1830.000,3
226,329,1664.000,5
227,329,1586.000,6
228,327,1503.000,7
229,327,1453.000,8
230,327,1406.000,5
231,327,1362.000,5
232,327,1275.000,3
233,327,1205.000,5
234,327,1175.000,6
235,327,1128.000,10
236,327,1068.000,4
237,327,1035.000,4
238,326,1042.000,8
239,325,1027.000,4
240,325,1036.000,7
241,324,1034.000,4
242,324,1037.000,6
243,322,1001.000,5
244,322,1053.000,5
245,322,1063.000,4
246,322,1076.000,5
247,322,1090.000,5
248,321,1106.000,5
249,321,1128.000,7
250,321,1191.000,4
251,321,1217.000,5
252,321,1255.000,5
253,320,1323.000,5
254,319,1400.000,6
255,319,1480.000,8
256,319,1560.000,2
257,319,1654.000,6
258,319,1744.000,5
259,318,1840.000,4
260,316,1934.000,5
261,316,2033.000,5
262,315,2143.000,3
263,315,2244.000,1
264,314,2341.000,4
265,314,2432.000,2
266,312,2528.000,2
267,312,2633.000,2
268,312,2740.000,3
269,312,2848.000,2
270,312,2679.000,5
271,311,2517.000,2
272,311,2395.000,7
273,311,2296.000,7
274,311,2208.000,3
275,311,2166.000,8
276,310,2136.000,7
277,310,2154.000,5
278,309,2162.000,7
279,309,2140.000,5
280,308,2164.000,7
281,308,2155.000,3
282,308,2142.000,6
283,308,2130.000,1
284,308,2121.000,5
285,307,2111.000,3
286,307,2105.000,4
287,307,2171.000,5
288,307,2168.000,4
289,307,2061.000,4
290,306,1994.000,4
291,306,1957.000,5
292,306,1922.000,3
293,305,1931.000,4
294,305,1913.000,3
295,304,1904.000,7
296,304,1943.000,2
297,304,1949.000,5
298,302,1959.000,6
299,302,1972.000,3
300,302,1992.000,7
301,302,2011.000,2
302,302,2032.000,3
303,302,2059.000,5
304,301,2187.000,4
305,301,2230.000,4
306,301,2298.000,8
307,301,2376.000,4
308,301,2463.000,2
309,301,2554.000,6
310,301,2679.000,3
311,301,2779.000,9
312,301,2847.000,3
313,301,2914.000,7
314,301,2986.000,7
315,300,2874.000,7
316,300,2771.000,3
317,300,2688.000,4
318,300,2612.000,6
319,300,2557.000,8
320,300,2507.000,4
321,298,2457.000,2
322,298,2437.000,7
323,298,2423.000,7
324,298,2424.000,7
325,298,2438.000,2
326,298,2488.000,8
327,298,2476.000,6
328,297,2470.000,4
329,297,2510.000,5
330,296,2516.000,6
331,296,2550.000,5
332,296,2582.000,3
333,296,2638.000,7
334,296,2756.000,7
335,296,2822.000,7
336,296,2904.000,7
337,294,2988.000,5
338,294,3079.000,7
339,294,3174.000,6
340,293,3270.000,3
341,293,3391.000,6
342,293,3515.000,7
343,293,3652.000,5
344,293,3798.000,4
345,293,3919.000,6
346,293,4045.000,6
347,293,4174.000,4
348,293,4316.000,4
349,293,4450.000,3
350,293,4597.000,5
351,293,4736.000,4
352,293,4880.000,3
353,293,5023.000,2
354,293,5169.000,2
355,292,5333.000,2
356,291,5479.000,0
357,291,5627.000,2
358,290,5773.000,2
359,289,5920.000,1
360,289,5741.000,2
361,289,5607.000,5
362,289,5492.000,4
363,289,5409.000,7
364,288,5386.000,8
365,286,5363.000,4
366,286,5368.000,2
367,286,5362.000,4
368,286,5355.000,6
369,286,5365.000,6
370,286,5418.000,11
371,286,5443.000,6
372,286,5468.000,3
373,286,5601.000,5
374,286,5625.000,3
375,285,5676.000,8
376,285,5790.000,5
377,285,5848.000,7
378,284,5910.000,3
379,284,6013.000,6
380,283,6080.000,3
381,283,6150.000,3
382,282,6223.000,6
383,282,6316.000,2
384,282,6426.000,2
385,282,6518.000,2
386,282,6674.000,4
387,282,6842.000,2
388,282,7019.000,3
389,282,7190.000,2
390,282,7366.000,3
391,282,7544.000,2
392,282,7723.000,2
393,282,7908.000,3
394,282,8096.000,3
395,282,8287.000,3
396,282,8478.000,2
397,282,8673.000,3
398,282,8870.000,2
399,282,9069.000,4
400,282,9272.000,5
401,282,9478.000,2
402,282,9686.000,4
403,478,9898.000,3
404,478,10114.000,4
405,478,10208.000,2
406,478,10333.000,5
407,478,10461.000,4
408,478,10634.000,3
409,478,10767.000,3
410,478,10902.000,3
411,478,11038.000,3
412,477,11220.000,4
413,477,11399.000,0
414,477,11538.000,4
415,477,11727.000,4
416,477,11871.000,2
417,477,12019.000,3
418,477,12191.000,3
419,477,12422.000,2
420,477,12655.000,2
421,477,12886.000,0
422,477,13122.000,4
423,477,13359.000,1
424,477,13597.000,1
425,477,13835.000,0
426,477,14075.000,2
427,477,14316.000,1
428,477,14557.000,0
429,477,14798.000,0
430,477,15040.000,1
431,476,15282.000,0
432,476,15524.000,0
433,476,15766.000,0
434,476,16011.000,3
435,476,16257.000,1
436,476,16504.000,1
437,476,16751.000,0
438,476,17000.000,2
439,476,17249.000,0
440,476,17498.000,0
441,476,17748.000,1
442,476,17998.000,0
443,476,18248.000,0
444,476,18498.000,0
445,476,18750.000,2
446,476,19002.000,0
447,476,19254.000,0
448,476,19506.000,0
449,476,19758.000,0
450,476,20010.000,0
451,476,20263.000,1
452,475,20516.000,0
453,475,20770.000,1
454,475,21024.000,0
455,475,21280.000,2
456,475,21536.000,0
457,475,21792.000,0
458,475,22048.000,0
459,475,22304.000,0
460,475,22561.000,1
461,475,22819.000,1
462,475,23078.000,1
463,475,23338.000,1
464,475,23599.000,1
465,475,23860.000,0
466,475,24123.000,2
467,475,24386.000,0
468,475,24650.000,1
469,475,24915.000,1
470,475,25181.000,1
471,475,25448.000,1
472,475,25715.000,0
473,475,25983.000,1
474,475,26251.000,0
475,475,26520.000,1
476,475,26789.000,0
477,475,27058.000,0
478,475,27328.000,1
479,475,27598.000,0
480,475,27869.000,1
481,475,28140.000,0
482,475,28411.000,0
483,475,28685.000,3
484,475,28960.000,1
485,475,29235.000,0
486,475,29511.000,1
487,475,29788.000,1
488,475,30067.000,2
489,475,30346.000,0
490,475,30625.000,0
491,475,30904.000,0
492,475,31185.000,2
493,475,31466.000,0
494,475,31748.000,1
495,475,32030.000,0
496,475,32312.000,0
497,475,32595.000,1
498,475,32878.000,0
499,475,33162.000,1
500,475,33446.000,0
501,475,33730.000,0
502,475,34014.000,0
503,475,34298.000,0
504,475,34582.000,0
505,475,34866.000,0
506,475,35150.000,0
507,475,35435.000,1
508,475,35721.000,1
509,475,36007.000,0
510,475,36295.000,2
511,475,36583.000,0
512,475,36872.000,1
513,475,37162.000,1
514,474,37453.000,1
515,474,37745.000,1
516,474,38037.000,0
517,474,38329.000,0
518,474,38622.000,1
519,474,38916.000,1
520,474,39210.000,0
521,474,39504.000,0
522,474,39798.000,0
523,474,40093.000,1
524,474,40388.000,0
525,474,40684.000,1
526,474,40980.000,0
527,474,41276.000,0
528,474,41572.000,0
529,474,41869.000,1
530,474,42166.000,0
531,474,42464.000,1
532,474,42764.000,2
533,474,43065.000,1
534,474,43366.000,0
535,474,43667.000,0
536,474,43969.000,1
537,474,44272.000,1
538,474,44575.000,0
539,474,44878.000,0
540,474,45182.000,1
541,474,45487.000,1
542,474,45794.000,2
543,474,46101.000,0
544,474,46408.000,0
545,474,46716.000,1
546,474,47025.000,1
547,474,47336.000,2
548,474,47647.000,0
549,474,47958.000,0
550,474,48270.000,1
551,474,48582.000,0
552,474,48895.000,1
553,474,49210.000,2
554,474,49525.000,0
555,474,49840.000,0
556,474,50155.000,0
557,474,50470.000,0
558,474,50785.000,0
559,474,51100.000,0
560,474,51415.000,0
561,474,51731.000,1
562,474,52047.000,0
563,474,52364.000,1
564,474,52682.000,1
565,474,53000.000,0
566,474,53318.000,0
567,474,53636.000,0
568,474,53955.000,1
569,474,54274.000,0
570,474,54593.000,0
571,474,54913.000,1
572,474,55233.000,0
573,474,55554.000,1
574,474,55875.000,0
575,474,56197.000,1
576,474,56218.000,0
577,474,56239.000,1
578,474,56262.000,1
579,474,56283.000,0
580,474,56308.000,1
581,474,56333.000,0
582,474,56360.000,2
583,474,56390.000,0
584,474,56429.000,1
585,474,56749.000,1
586,474,56791.000,2
587,474,56534.000,0
588,474,56282.000,0
589,474,56032.000,2
590,474,55782.000,0
591,474,55547.000,2
592,474,55565.000,1
593,474,55331.000,2
594,474,55101.000,1
595,474,54890.000,1
596,474,54559.000,2
597,474,54158.000,2
598,474,53772.000,2
599,474,53395.000,3
600,474,53023.000,5
601,474,52721.000,3
602,474,52425.000,3
603,474,52158.000,3
604,473,51894.000,2
605,473,51667.000,2
606,473,51442.000,3
607,473,51731.000,2
608,473,51828.000,2
609,473,51926.000,3
610,473,52037.000,6
611,473,51855.000,0
612,473,51685.000,2
613,473,51544.000,2
614,473,51443.000,3
615,473,51545.000,3
616,473,51648.000,2
617,473,51596.000,2
618,473,51641.000,2
619,473,51471.000,3
620,473,51308.000,0
621,473,51149.000,3
622,473,51007.000,0
623,473,51024.000,3
624,473,50884.000,3
625,473,50761.000,1
626,473,50638.000,1
627,473,50515.000,1
628,473,50535.000,2
629,473,50712.000,2
630,473,50571.000,3
631,473,50529.000,2
632,473,50514.000,3
633,473,50475.000,1
634,473,50462.000,2
635,473,50452.000,3
636,473,50439.000,1
637,473,50430.000,2
638,473,50712.000,3
639,473,50706.000,2
640,473,50992.000,3
641,473,51278.000,2
642,473,51564.000,2
643,473,51883.000,2
644,473,52173.000,2
645,473,52463.000,1
646,473,52753.000,1
647,473,53044.000,2
648,473,53335.000,0
649,473,53334.000,2
650,473,53032.000,1
651,473,52731.000,2
652,473,52430.000,1
653,472,52086.000,3
654,472,51737.000,1
655,472,51087.000,3
656,472,50433.000,0
657,472,50115.000,2
658,472,49492.000,3
659,472,48842.000,3
660,472,48194.000,2
661,472,47548.000,6
662,472,46901.000,0
663,472,46258.000,4
664,472,45962.000,1
665,472,45020.000,3
666,471,44080.000,1
667,471,43143.000,4
668,471,42524.000,4
669,471,41392.000,1
670,471,40318.000,3
671,471,39285.000,2
672,471,38277.000,4
673,471,37282.000,5
674,471,36504.000,2
675,471,35042.000,6
676,471,33602.000,5
677,471,32184.000,5
678,470,30890.000,7
679,470,29907.000,4
680,470,28684.000,7
681,470,27755.000,6
682,470,26572.000,6
683,470,25771.000,8
684,470,24913.000,10
685,470,24116.000,6
686,470,23060.000,10
687,470,22309.000,6
688,470,21079.000,8
689,469,20030.000,10
690,469,18999.000,6
691,469,18141.000,2
692,469,17248.000,6
693,469,16993.000,8
694,469,15961.000,8
695,469,15181.000,5
696,469,14634.000,8
697,469,14290.000,7
698,469,13810.000,5
699,469,13375.000,8
700,469,12981.000,8
701,468,12883.000,4
702,468,12739.000,6
703,468,12726.000,4
704,468,12426.000,4
705,468,12214.000,7
706,468,12193.000,8
707,468,11863.000,5
708,468,11707.000,8
709,468,11704.000,5
710,468,11603.000,8
711,468,11841.000,4
712,468,11896.000,7
713,468,11955.000,4
714,467,12067.000,3
715,467,12288.000,6
716,467,12533.000,6
717,467,12771.000,4
718,467,13041.000,4
719,467,13293.000,5
720,467,13401.000,5
721,467,13511.000,5
722,467,13630.000,8
723,467,13749.000,4
724,466,13852.000,11
725,466,13911.000,6
